dataset,path,error,subject,session,dim_x,dim_y,dim_z,voxel_x_mm,voxel_y_mm,voxel_z_mm,file_size_mb,tesla,manufacturer,model,n_voxels,n_nonzero,nonzero_frac,mean,median,std,mad,kurtosis,skewness,p01,p05,p95,p99,entropy,efc
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-257563/anat/sub-257563_acq-standard_T1w.nii.gz,,sub-257563,,192,256,256,1.0,1.0,1.0,10.198919296264648,3,Siemens,Prisma,12582912,8473471,0.673410971959432,89.30752590373358,3.0006866231560707,151.57039753345725,3.0006866231560707,2.147865401521705,1.668032788727637,0.0,0.0,412.00731982290745,546.9947296530008,1.0562833016842819,0.4743
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-275147/anat/sub-275147_acq-standard_T1w.nii.gz,,sub-275147,,192,256,256,1.0,1.0,1.0,11.202652931213379,3,Siemens,Prisma,12582912,9104966,0.7235976854960123,100.44436960932735,3.992065403610468,168.85943385465094,3.992065403610468,2.6858949333005118,1.7846542930178975,0.0,0.0,456.9945939220488,680.995972564444,1.265376553646176,0.4801
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-278729/anat/sub-278729_acq-standard_T1w.nii.gz,,sub-278729,,192,256,256,1.0,1.0,1.0,9.264426231384277,3,Siemens,Prisma,12582912,8220030,0.6532692909240723,76.31341121846697,2.0032348930835724,148.28035825390668,2.0032348930835724,3.680320886541611,2.0421026856246542,0.0,0.0,418.99367867410183,579.0081731826067,0.8765455087305335,0.4228
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-275211/anat/sub-275211_acq-standard_T1w.nii.gz,,sub-275211,,192,256,256,1.0,1.0,1.0,10.525688171386719,3,Siemens,Prisma,12582912,9183131,0.7298096815745035,99.51402654457631,3.0024872198700905,162.16499282960817,3.0024872198700905,3.0626396958793825,1.765182666913913,0.0,0.0,419.00444027781487,660.0012816041708,1.1518992904972414,0.4921
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-281888/anat/sub-281888_acq-standard_T1w.nii.gz,,sub-281888,,192,256,256,1.0,1.0,1.0,8.499319076538086,3,Siemens,Prisma,12582912,7109836,0.5650389989217123,73.13239433731007,2.0127260237932205,140.95323219016547,2.0127260237932205,3.1423553447127626,1.9483918551703143,0.0,0.0,398.99497968889773,529.0114899203181,0.7664521513009592,0.4248
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-279373/anat/sub-279373_acq-standard_T1w.nii.gz,,sub-279373,,192,256,256,1.0,1.0,1.0,8.75027084350586,3,Siemens,MAGNETOM Prisma,12582912,8804855,0.6997470060984293,61.058216912263596,2.0068665593862534,104.73244987850532,2.0068665593862534,2.8076393298034183,1.7999469797089556,0.0,0.0,274.9993132799864,432.0036620646715,1.4585426673628135,0.4715
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-282628/anat/sub-282628_acq-standard_T1w.nii.gz,,sub-282628,,192,256,256,1.0,1.0,1.0,9.428271293640137,3,Siemens,Prisma,12582912,8375984,0.6656634012858073,73.74096415573992,2.0075227227061987,139.3436962623045,2.0075227227061987,3.646809853729258,2.011398015754318,0.0,0.0,386.99144449085,558.9937812555581,1.1635560708105699,0.4338
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-292213/anat/sub-292213_acq-standard_T1w.nii.gz,,sub-292213,,192,256,256,1.0,1.0,1.0,9.870404243469238,3,Siemens,Prisma,12582912,8410200,0.6683826446533203,81.8571905825742,3.00376895070076,147.83926468797253,3.00376895070076,2.825919944838983,1.8473589599224836,0.0,0.0,409.9885672107339,574.988703019917,0.8706446536984033,0.4506
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-292060/anat/sub-292060_acq-standard_T1w.nii.gz,,sub-292060,,192,256,256,1.0,1.0,1.0,9.301021575927734,3,Siemens,Prisma,12582912,8135737,0.6465702851613363,70.05018203202094,2.009063810110092,135.3033813870449,2.009063810110092,3.736732264276605,2.044291181211674,0.0,0.0,378.99829702451825,536.9995749369264,1.0898097814227081,0.4253
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-313623/anat/sub-313623_acq-standard_T1w.nii.gz,,sub-313623,,192,256,256,1.0,1.0,1.0,7.517557144165039,3,Siemens,MAGNETOM Prisma,12582912,6716052,0.5337438583374023,45.6546760472875,0.9983978234231472,91.4153422404201,0.9983978234231472,3.5501318305846343,2.057971711471724,0.0,0.0,260.0049798376858,343.0051188915968,1.6107129858853975,0.4108
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-307592/anat/sub-307592_acq-standard_T1w.nii.gz,,sub-307592,,192,256,256,1.0,1.0,1.0,8.38487434387207,3,Siemens,MAGNETOM Prisma,12582912,7173365,0.5700878302256266,59.20313737924232,1.0022277990356088,116.14488849948498,1.0022277990356088,5.1597500222699235,2.26068540448155,0.0,0.0,304.00042174384,515.0019133044407,1.5376864081196664,0.4206
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-337488/anat/sub-337488_acq-standard_T1w.nii.gz,,sub-337488,,192,256,256,1.0,1.0,1.0,9.560392379760742,3,Siemens,Prisma,12582912,8180338,0.6501148541768392,79.13145021383751,2.0007629692554474,152.69376623312985,2.0007629692554474,3.432450387861272,2.0117665061325067,0.0,0.0,432.9901160839945,613.0087642427534,0.8708489379700118,0.4255
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-335448/anat/sub-335448_acq-standard_T1w.nii.gz,,sub-335448,,192,256,256,1.0,1.0,1.0,10.67281436920166,3,Siemens,Prisma,12582912,9000553,0.7152996857961019,91.0124743244426,3.0027619674801826,156.56848385918144,3.0027619674801826,2.727987964740251,1.7916879146134324,0.0,0.0,430.99479354545474,616.0092337876558,0.9547624873335439,0.4702
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-351288/anat/sub-351288_acq-standard_T1w.nii.gz,,sub-351288,,192,256,256,1.0,1.0,1.0,11.0927095413208,3,Siemens,Prisma,12582912,9145207,0.7267957528432211,101.11419185534226,3.0057222694158554,160.02818849398219,3.0057222694158554,1.3547294238148115,1.4771368647523722,0.0,0.0,434.9913983643055,551.0081885457039,1.1652058823535858,0.502
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-365622/anat/sub-365622_acq-standard_T1w.nii.gz,,sub-365622,,192,256,256,1.0,1.0,1.0,10.456352233886719,3,Siemens,Prisma,12582912,8848696,0.7032311757405599,90.39087545750374,2.9919891729950905,161.55999008306608,2.9919891729950905,3.0179006200795087,1.8945516748360596,0.0,0.0,435.9954455345869,642.0078163240105,1.314421340541876,0.4557
MR-ART,/run/media/falconnier/Elements1/datasets/BIDS_datasets/MR-ART/sub-402511/anat/sub-402511_acq-standard_T1w.nii.gz,,sub-402511,,192,256,256,1.0,1.0,1.0,9.38071060180664,3,Siemens,Prisma,12582912,8075963,0.6418198744455973,68.77059522915071,2.010009963065386,130.9999415412321,2.010009963065386,3.194040053611557,1.957992768793297,0.0,0.0,371.99689543247223,483.997966054827,1.0160714069000498,0.4303
